Judul,Lokasi,Lokasi_Clean,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Deskripsi_Clean,Image_Link,Property_Link
Rumah 200 Jutaan Dekat Jl Jogja Wates Di Sedayu Bantul,"Sedayu, Bantul",sedayu bantul,275000000,2,1,1,70,36,0.07122905,0.111111111,0,0,0.213043478,0.157894737,rumah 200 juta dekat jl jogja wates dayu bantul,tajuk almaira lokasi metes argorejo dayu bantul diy hubung kaleb wastu property nib 1299000450xxx rumah cantik impi konsep elegan kini beri kesan tata ruang luas lega lokasi dekat jalan jogja wates dekat bagai fasilitas umum layan publik akan mudah mobilitas hari keluarga sayang mari survey sama siap damping serah terima kunci selling point 2 menit sd n metes 5 menit sd budi mulia 2 dayu 5 menit pg tk budi mulia 2 dayu 5 menit jl jogja wates 5 menit kampus mercubuana 7 menit spbu candi mas 10 menit rs mitra sehat 15 menit rs pku gamping 20 menit kampus umy mukim padat duduk dan banyak rumah sekitar lokasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/2075597/dce8920d6386842fd6f0fecb44e6e15f.jpg,https://www.rumah123.com/properti/bantul/hos18223103/
Rumah Cantik Di Jogja Nuansa Villa Ada Pos Security 6 Km Ke Malioboro,"Gamping, Sleman",gamping sleman,566000000,2,1,1,77,40,0.152513966,0.111111111,0,0,0.243478261,0.177033493,rumah cantik jogja nuansa villa pos security 6 km malioboro,rumah cantik jogja nuansa villa pos security 6 km malioboro rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat kota yogyakarta akses mudah luas milik huni nuansa villa akan buat hidup jadi lebih tenang nyaman spesifikasi jalan lingkung 5 meter 65 meter jalan aspal shm p sedia 28 unit ruang makan 2 kamar tidur 1 kamar mandi ruang tamu ruang keluarga dapur carpot listrik 1300 info 2 menit sd mancasan 2 menit puskesmas mancasan 3 menit pasar hewan gamping 4 menit jl wates km 7 5 menit rs pku gamping 8 menit kampus umy,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972037/d3191b8c8d9bbafbdc03ccfce00d1c57.jpg,https://www.rumah123.com/properti/sleman/hos18075403/
Rumah Dijual Sleman Nuansa Villa Dekat Pasar Gamping Dalam Cluster,"Gamping, Sleman",gamping sleman,591000000,2,1,1,82,40,0.159497207,0.111111111,0,0,0.265217391,0.177033493,rumah jual sleman nuansa villa dekat pasar gamping cluster,rumah jual sleman nuansa villa dekat pasar gamping cluster rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat kota yogyakarta akses mudah luas milik huni nuansa villa akan buat hidup jadi lebih tenang nyaman spesifikasi jalan lingkung 5 meter 65 meter jalan aspal shm p sedia 28 unit ruang makan 2 kamar tidur 1 kamar mandi ruang tamu ruang keluarga dapur carpot listrik 1300 info 2 menit sd mancasan 2 menit puskesmas mancasan 3 menit pasar hewan gamping 4 menit jl wates km 7 5 menit rs pku gamping 8 menit kampus umy,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972037/e6c1551fb7ab48ce0ba970fd967f957a.jpg,https://www.rumah123.com/properti/sleman/hos18075401/
Rumah Murah Sleman Dekat Kampus Umy One Gate System,"Gamping, Sleman",gamping sleman,591000000,2,1,1,82,40,0.159497207,0.111111111,0,0,0.265217391,0.177033493,rumah murah sleman dekat kampus umy one gate system,rumah murah sleman dekat kampus umy one gate system rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat kota yogyakarta akses mudah luas milik huni nuansa villa akan buat hidup jadi lebih tenang nyaman spesifikasi jalan lingkung 5 meter 65 meter jalan aspal shm p sedia 28 unit ruang makan 2 kamar tidur 1 kamar mandi ruang tamu ruang keluarga dapur carpot listrik 1300 info 2 menit sd mancasan 2 menit puskesmas mancasan 3 menit pasar hewan gamping 4 menit jl wates km 7 5 menit rs pku gamping 8 menit kampus umy,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972037/ada8d6d50c319c0adcb40ffc662048ed.jpg,https://www.rumah123.com/properti/sleman/hos18075400/
Rumah di Jogja Serasa Villa Jalan Wates Km 6,"Sleman, Sleman",sleman sleman,571000000,2,1,1,79,40,0.153910615,0.111111111,0,0,0.252173913,0.177033493,rumah jogja serasa villa jalan wates km 6,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat kota yogyakarta akses mudah luas milkii huni nuansa villa akan buat hidup jadi lebih tenang nyaman spesifikasi jalan lingkung 5 meter 65 meter jalan aspal shm p sedia 28 unit ruang makan 2 kamar tidur 1 kamar mandi ruang tamu ruang keluarga dapur carpot listrik 1200 info 2 menit sd mancasan 2 menit puskesmas mancasan 3 menit pasar hewan gamping 4 menit jl wates km 7 5 menit rs pku gamping 8 menit kampus umy,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972037/e86c2472fb9d6365ca2a45256d32f9e0.jpg,https://www.rumah123.com/properti/sleman/hos18075461/
Rumah di Jogja Serasa Villa Ambarketawang Gamping Ada Pos Security,"Mlati, Sleman",mlati sleman,580000000,2,1,1,81,40,0.156424581,0.111111111,0,0,0.260869565,0.177033493,rumah jogja serasa villa ambarketawang gamping pos security,rumah nuansa villa hadir lingkung huni aman nyaman letak dekat pusat kota yogyakarta akses mudah luas milkii huni nuansa villa akan buat hidup jadi lebih tenang nyaman spesifikasi jalan lingkung 5 meter 65 meter jalan aspal shm p sedia 28 unit ruang makan 2 kamar tidur 1 kamar mandi ruang tamu ruang keluarga dapur carpot listrik 1200 info 2 menit sd mancasan 2 menit puskesmas mancasan 3 menit pasar hewan gamping 4 menit jl wates km 7 5 menit rs pku gamping 8 menit kampus umy,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972037/ff72cad99f46a16efcff97a9b343d91d.jpg,https://www.rumah123.com/properti/sleman/hos18075460/
Rumah Murah Tanah Luas Dekat Univ Mercubuana,"Sedayu, Bantul",sedayu bantul,330000000,3,1,1,77,45,0.086592179,0.222222222,0,0,0.243478261,0.200956938,rumah murah tanah luas dekat univ mercubuana,rumah murah tanah luas dekat univ mercubuana lokasi ngepek argodadi kec dayu kabupaten bantul daerah istimewa yogyakarta 55752 rumah cantik minimal dayu bantul rumah murah 3 kamar tidur bayar mudah bantu proses selesai hubung segera selling point 4 menit jalan utama argodadi 6 pit sd n1 dingkikan 10 menit rsud nyi ageng serang 11 menit sd n sukoharjo 12 menit sma pangudi luhur dayu 11 menit kantor camat dayu 14 menit universitas mercu buana 15 menit sman 1 dayu 12 menit polsek dayu 12 menit pasar sentolo baru 8 menit pasar sungapan milik segera langsung hubung purnama wastu 088200547xxx2 info survei wastu proiperty rumah murah tanah luas dekat univ mercubuana,https://picture.rumah123.com/r123-images/720x420-crop/customer/2027722/649f02795a0f6466c57f96096071fa67.jpg,https://www.rumah123.com/properti/bantul/hos18222790/
Rumah Cantik Murah Fully Furnished Di Metes Sedayu,"Sedayu, Bantul",sedayu bantul,299000000,2,1,1,72,36,0.077932961,0.111111111,0,0,0.22173913,0.157894737,rumah cantik murah fully furnished metes dayu,graha metes lokasi 579fq68 metes argorejo kec dayu kabupaten bantul daerah istimewa yogyakarta 55752 rumah laris metes dayu lokasi tepi jalan raya metes den harga murah 299jt all in fully furnished rumah murah dp 10 free semua biaya lokasi paling strategis dayu ini rumah gratis semua biaya lengkap isi cuman 299jt fully furnished 2 kasur lemari sofa set meja makan 1 set kompor gas selling point tepi jalan raya metes den 1 menit 350 meter tugu metes 8 menit 3 km univ mercu buana 7 menit 26km polsek dayu 16 menit 81km umy 4 menit 13km sd budi mulya 2 dayu,https://picture.rumah123.com/r123-images/720x420-crop/customer/2075597/5ab2acd612df92e3f53e221f32bb7330.jpg,https://www.rumah123.com/properti/bantul/hos18222686/
Beli Sekarang Rumah Mewah di Sleman Promo Liburan Menarik,"Berbah, Sleman",berbah sleman,1480000000,3,3,1,125,100,0.407821229,0.222222222,0.2,0,0.452173913,0.464114833,beli sekarang rumah mewah sleman promo libur tarik,rumah mewah cluster model american style private pool lokasi jl raya bah utara kalitirto bah sleman diy selatan aau adisucipto segera bangun cluster baru berbahsleman rumah elegan 2 lantai american style dalam cluster lokasi dekat jalan solojogja unggul dkirana maison private cluster one gate rumah mewah design american style private pool 5 menit bandara adisucipto 7 menit calon exit tol purwomatani 7 menit kids fun 10 menit calon exit tol bokoharjo prambanan,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972036/3de240cc6be71e40f2a8f4d24ec962a4.jpg,https://www.rumah123.com/properti/sleman/hos18075667/
Beli Rumah Dengan Private Pool di Jogja Liburan Gratis Menanti Anda,"Berbah, Sleman",berbah sleman,1380000000,3,3,1,107,100,0.379888268,0.222222222,0.2,0,0.373913043,0.464114833,beli rumah private pool jogja libur gratis nanti,luxury home one gate system jl jogja solo dekat exit tol bokoharjo rumah mewah cluster model american style private pool lokasi jl raya bah utara kalitirto bah sleman diy selatan aau adisucipto segera bangun cluster baru berbahsleman rumah elegan 2 lantai american style dalam cluster lokasi dekat jalan solojogja unggul dkirana maison private cluster one gate rumah mewah design american style private pool 5 menit bandara adisucipto 7 menit calon exit tol purwomatani 7 menit kids fun 10 menit calon exit tol bokoharjo prambanan,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972036/00797cffac9c3bb8dacf292578f2be43.jpg,https://www.rumah123.com/properti/sleman/hos18075665/
